대상연월,요일,도착시간,출발 시군구 코드,도착 시군구 코드,성별,나이,이동유형,평균 이동 시간(분),이동인구(합)
202003,일,02,11010,11010,F,15,EH,20,20.24
202003,일,02,11010,11010,F,15,WH,10,8.1
202003,일,02,11010,11010,F,15,HE,10,4.06
202003,일,02,11010,11010,F,15,WE,20,4.08
202003,일,02,11010,11010,F,15,EE,10,12.24
202003,일,02,11010,11010,F,15,HH,10,4.06
202003,일,02,11010,11010,F,20,WH,20,66.5
202003,일,02,11010,11010,F,20,WW,10,13
202003,일,02,11010,11010,F,20,EE,20,65.73
202003,일,02,11010,11010,F,20,EH,10,126.93
202003,일,02,11010,11010,F,20,EW,10,8.74
202003,일,02,11010,11010,F,20,HE,20,12.97
202003,일,02,11010,11010,F,20,HH,10,16.85
202003,일,02,11010,11010,F,20,WE,30,4.36
202003,일,02,11010,11010,F,20,HW,10,*
202003,일,02,11010,11010,F,25,WW,30,12.21
202003,일,02,11010,11010,F,25,WE,10,8.11
202003,일,02,11010,11010,F,25,EW,10,14.42
202003,일,02,11010,11010,F,25,HE,10,*
202003,일,02,11010,11010,F,25,HH,10,*
202003,일,02,11010,11010,F,25,WH,20,28.32
202003,일,02,11010,11010,F,25,HW,20,6.11
202003,일,02,11010,11010,F,25,EE,20,82.15
202003,일,02,11010,11010,F,25,EH,30,46.82
202003,일,02,11010,11010,F,30,EH,10,26.18
202003,일,02,11010,11010,F,30,WH,10,9.49
202003,일,02,11010,11010,F,30,HH,10,4.75
202003,일,02,11010,11010,F,30,EE,20,56.46
202003,일,02,11010,11010,F,30,WW,20,7.07
202003,일,02,11010,11010,F,35,EE,10,*
202003,일,02,11010,11010,F,35,EH,10,24.05
202003,일,02,11010,11010,F,35,HW,10,*
202003,일,02,11010,11010,F,35,WE,10,9.08
202003,일,02,11010,11010,F,35,WH,20,12.07
202003,일,02,11010,11010,F,35,HH,20,3.04
202003,일,02,11010,11010,F,40,EH,20,20.48
202003,일,02,11010,11010,F,40,EE,10,10.27
202003,일,02,11010,11010,F,40,WE,40,3.44
202003,일,02,11010,11010,F,40,WH,10,6.82
202003,일,02,11010,11010,F,40,HE,20,13.69
202003,일,02,11010,11010,F,40,EW,10,6.05
202003,일,02,11010,11010,F,40,HH,20,3.43
202003,일,02,11010,11010,F,40,WW,10,3.42
202003,일,02,11010,11010,F,45,EE,40,19.96
202003,일,02,11010,11010,F,45,WE,20,3.33
202003,일,02,11010,11010,F,45,HH,10,9.94
202003,일,02,11010,11010,F,45,EH,10,9.9
202003,일,02,11010,11010,F,45,EW,10,3.33
202003,일,02,11010,11010,F,45,WW,20,6.05
202003,일,02,11010,11010,F,45,WH,20,23.1
202003,일,02,11010,11010,F,50,HE,60,3.15
