대상연월,요일,도착시간,출발 시군구 코드,도착 시군구 코드,성별,나이,이동유형,평균 이동 시간(분),이동인구(합)
202003,일,01,11010,11010,F,15,EH,10,28.19
202003,일,01,11010,11010,F,15,EW,10,4.07
202003,일,01,11010,11010,F,15,WE,30,4.08
202003,일,01,11010,11010,F,15,WH,10,22.2
202003,일,01,11010,11010,F,15,EE,10,64.75
202003,일,01,11010,11010,F,15,WW,50,4.08
202003,일,01,11010,11010,F,15,HH,10,8.09
202003,일,01,11010,11010,F,20,EE,20,127.02
202003,일,01,11010,11010,F,20,WE,10,8.81
202003,일,01,11010,11010,F,20,WW,10,30.02
202003,일,01,11010,11010,F,20,HE,10,20.71
202003,일,01,11010,11010,F,20,EW,10,8.25
202003,일,01,11010,11010,F,20,EH,20,107
202003,일,01,11010,11010,F,20,HW,20,8.76
202003,일,01,11010,11010,F,20,WH,20,86.14
202003,일,01,11010,11010,F,20,HH,30,10.81
202003,일,01,11010,11010,F,25,EE,20,145.76
202003,일,01,11010,11010,F,25,HH,40,20.34
202003,일,01,11010,11010,F,25,HE,30,12.16
202003,일,01,11010,11010,F,25,WW,10,8.19
202003,일,01,11010,11010,F,25,EH,20,67.14
202003,일,01,11010,11010,F,25,WH,20,48.59
202003,일,01,11010,11010,F,25,EW,20,6.08
202003,일,01,11010,11010,F,25,WE,30,10.31
202003,일,01,11010,11010,F,30,WW,10,4.71
202003,일,01,11010,11010,F,30,HH,10,17.94
202003,일,01,11010,11010,F,30,WH,10,21.55
202003,일,01,11010,11010,F,30,WE,10,*
202003,일,01,11010,11010,F,30,EW,10,13.14
202003,일,01,11010,11010,F,30,HW,20,4.75
202003,일,01,11010,11010,F,30,EH,20,40.61
202003,일,01,11010,11010,F,30,EE,10,45.58
202003,일,01,11010,11010,F,30,HE,20,7.14
202003,일,01,11010,11010,F,35,EH,20,36.12
202003,일,01,11010,11010,F,35,EE,10,45.25
202003,일,01,11010,11010,F,35,WE,10,9.11
202003,일,01,11010,11010,F,35,HH,30,9.05
202003,일,01,11010,11010,F,35,HE,10,6.02
202003,일,01,11010,11010,F,35,WH,10,8.97
202003,일,01,11010,11010,F,35,EW,10,6.07
202003,일,01,11010,11010,F,35,HW,10,*
202003,일,01,11010,11010,F,40,WE,10,9.47
202003,일,01,11010,11010,F,40,HW,10,3.4
202003,일,01,11010,11010,F,40,WW,20,3.35
202003,일,01,11010,11010,F,40,WH,10,10.2
202003,일,01,11010,11010,F,40,HH,20,9.48
202003,일,01,11010,11010,F,40,HE,30,6.89
202003,일,01,11010,11010,F,40,EE,10,10.34
202003,일,01,11010,11010,F,40,EH,10,64.26
202003,일,01,11010,11010,F,45,HE,20,6.59
202003,일,01,11010,11010,F,45,WH,20,52.79
202003,일,01,11010,11010,F,45,EH,20,29.6
202003,일,01,11010,11010,F,45,HW,20,9.94
202003,일,01,11010,11010,F,45,EE,20,19.98
202003,일,01,11010,11010,F,45,HH,10,13.26
202003,일,01,11010,11010,F,50,HW,10,3.11
202003,일,01,11010,11010,F,50,HE,40,3.11
202003,일,01,11010,11010,F,50,WW,10,21.85
202003,일,01,11010,11010,F,50,WE,10,18.69
202003,일,01,11010,11010,F,50,WH,10,74.41
202003,일,01,11010,11010,F,50,EH,20,27.93
202003,일,01,11010,11010,F,50,EW,20,6.2
202003,일,01,11010,11010,F,50,EE,20,9.35
202003,일,01,11010,11010,F,50,HH,20,9.22
202003,일,01,11010,11010,F,55,EE,10,16.3
202003,일,01,11010,11010,F,55,HE,20,3.24
202003,일,01,11010,11010,F,55,HW,40,3.3
202003,일,01,11010,11010,F,55,EH,20,32.2
202003,일,01,11010,11010,F,55,WH,10,67.02
202003,일,01,11010,11010,F,55,WE,20,6.42
202003,일,01,11010,11010,F,55,EW,30,3.27
202003,일,01,11010,11010,F,55,WW,20,6.32
202003,일,01,11010,11010,F,55,HH,10,6.44
202003,일,01,11010,11010,F,60,WH,20,53.09
202003,일,01,11010,11010,F,60,HW,20,7.54
202003,일,01,11010,11010,F,60,EH,20,22.7
202003,일,01,11010,11010,F,60,WW,10,3.77
202003,일,01,11010,11010,F,60,EE,10,11.43
202003,일,01,11010,11010,F,65,WW,10,9.23
202003,일,01,11010,11010,F,65,EH,70,4.65
202003,일,01,11010,11010,F,65,HW,30,4.55
202003,일,01,11010,11010,F,65,WH,10,23.21
202003,일,01,11010,11010,F,65,HH,10,4.6
202003,일,01,11010,11010,F,70,WH,10,11.2
202003,일,01,11010,11010,F,70,EH,30,5.68
202003,일,01,11010,11010,F,70,EE,10,5.73
202003,일,01,11010,11010,F,70,WE,10,5.7
202003,일,01,11010,11010,F,70,HW,10,5.58
202003,일,01,11010,11010,F,75,WW,10,8.82
202003,일,01,11010,11010,F,75,EE,10,17.43
202003,일,01,11010,11010,F,80,WH,10,19.33
202003,일,01,11010,11010,M,10,EH,10,6.41
202003,일,01,11010,11010,M,15,WE,20,4.52
202003,일,01,11010,11010,M,15,HH,10,13.39
202003,일,01,11010,11010,M,15,HE,10,13.3
202003,일,01,11010,11010,M,15,EW,10,4.52
202003,일,01,11010,11010,M,15,EH,10,98.48
202003,일,01,11010,11010,M,15,WH,10,90.14
202003,일,01,11010,11010,M,15,EE,10,107.15
202003,일,01,11010,11010,M,20,WW,10,18.7
202003,일,01,11010,11010,M,20,HE,10,26.7
202003,일,01,11010,11010,M,20,WH,10,86.98
202003,일,01,11010,11010,M,20,WE,10,16.14
202003,일,01,11010,11010,M,20,HW,10,5.33
202003,일,01,11010,11010,M,20,EH,10,123.99
202003,일,01,11010,11010,M,20,EE,10,180.76
202003,일,01,11010,11010,M,20,EW,10,21.53
202003,일,01,11010,11010,M,20,HH,10,43.08
202003,일,01,11010,11010,M,25,HE,20,29.1
202003,일,01,11010,11010,M,25,EE,10,421.39
202003,일,01,11010,11010,M,25,WE,20,18.22
202003,일,01,11010,11010,M,25,HH,20,56
202003,일,01,11010,11010,M,25,WW,10,20.41
202003,일,01,11010,11010,M,25,HW,30,11.21
202003,일,01,11010,11010,M,25,EH,20,182.18
202003,일,01,11010,11010,M,25,WH,10,96.44
202003,일,01,11010,11010,M,25,EW,20,24.94
202003,일,01,11010,11010,M,30,WH,10,55.35
202003,일,01,11010,11010,M,30,WW,10,23.55
202003,일,01,11010,11010,M,30,HW,10,*
202003,일,01,11010,11010,M,30,HE,10,7.02
202003,일,01,11010,11010,M,30,EW,30,14.27
202003,일,01,11010,11010,M,30,WE,30,30.03
202003,일,01,11010,11010,M,30,HH,20,18.77
202003,일,01,11010,11010,M,30,EH,20,91.7
202003,일,01,11010,11010,M,30,EE,10,205.08
202003,일,01,11010,11010,M,35,WE,10,13.55
202003,일,01,11010,11010,M,35,HH,10,36.28
202003,일,01,11010,11010,M,35,HE,10,10.75
202003,일,01,11010,11010,M,35,EW,10,13.48
202003,일,01,11010,11010,M,35,EE,10,119.71
202003,일,01,11010,11010,M,35,EH,10,84.2
202003,일,01,11010,11010,M,35,WW,10,19.05
202003,일,01,11010,11010,M,35,WH,20,37.47
202003,일,01,11010,11010,M,40,WE,10,6.02
202003,일,01,11010,11010,M,40,WW,40,14.96
202003,일,01,11010,11010,M,40,HW,20,5.98
202003,일,01,11010,11010,M,40,WH,20,38.63
202003,일,01,11010,11010,M,40,EE,10,72.02
202003,일,01,11010,11010,M,40,EH,20,65.03
202003,일,01,11010,11010,M,40,HE,40,17.76
202003,일,01,11010,11010,M,40,EW,20,9.07
202003,일,01,11010,11010,M,40,HH,20,26.72
202003,일,01,11010,11010,M,45,WH,10,77.94
202003,일,01,11010,11010,M,45,WW,20,25.38
202003,일,01,11010,11010,M,45,HW,20,12.73
202003,일,01,11010,11010,M,45,HE,30,12.63
202003,일,01,11010,11010,M,45,EW,10,18.96
202003,일,01,11010,11010,M,45,HH,10,15.69
