대상연월,요일,도착시간,출발 시군구 코드,도착 시군구 코드,성별,나이,이동유형,평균 이동 시간(분),이동인구(합)
202003,일,05,11010,11010,F,15,HE,20,4
202003,일,05,11010,11010,F,15,EW,20,4.08
202003,일,05,11010,11010,F,15,HH,10,4.05
202003,일,05,11010,11010,F,20,EE,20,13.13
202003,일,05,11010,11010,F,20,EH,20,8.67
202003,일,05,11010,11010,F,20,WW,10,*
202003,일,05,11010,11010,F,20,HE,10,*
202003,일,05,11010,11010,F,20,WH,10,6.46
202003,일,05,11010,11010,F,20,EW,10,4.39
202003,일,05,11010,11010,F,20,HH,10,10.41
202003,일,05,11010,11010,F,20,HW,20,10.87
202003,일,05,11010,11010,F,25,WE,60,*
202003,일,05,11010,11010,F,25,HH,20,6.08
202003,일,05,11010,11010,F,25,HW,10,*
202003,일,05,11010,11010,F,25,WW,10,12.19
202003,일,05,11010,11010,F,25,EH,20,18.36
202003,일,05,11010,11010,F,25,EE,20,26.69
202003,일,05,11010,11010,F,25,HE,20,4.1
202003,일,05,11010,11010,F,25,WH,10,10.16
202003,일,05,11010,11010,F,25,EW,10,*
202003,일,05,11010,11010,F,30,HE,20,7.2
202003,일,05,11010,11010,F,30,WH,10,*
202003,일,05,11010,11010,F,30,WE,10,*
202003,일,05,11010,11010,F,30,EE,10,25.17
202003,일,05,11010,11010,F,35,EH,20,9.1
202003,일,05,11010,11010,F,35,WH,20,6.05
202003,일,05,11010,11010,F,35,EW,30,3.04
202003,일,05,11010,11010,F,35,WE,30,6.07
202003,일,05,11010,11010,F,35,HW,10,9.16
202003,일,05,11010,11010,F,35,WW,10,*
202003,일,05,11010,11010,F,40,WE,10,12.94
202003,일,05,11010,11010,F,40,HW,20,6.78
202003,일,05,11010,11010,F,40,EW,10,6.05
202003,일,05,11010,11010,F,40,HH,10,6.05
202003,일,05,11010,11010,F,40,EE,10,6.87
202003,일,05,11010,11010,F,40,HE,20,3.38
202003,일,05,11010,11010,F,40,WW,10,13.72
202003,일,05,11010,11010,F,45,WH,20,3.3
202003,일,05,11010,11010,F,45,WE,10,6.6
202003,일,05,11010,11010,F,45,EH,10,3.33
202003,일,05,11010,11010,F,45,HW,20,6.62
202003,일,05,11010,11010,F,45,EE,10,6.65
202003,일,05,11010,11010,F,50,HH,30,3.1
202003,일,05,11010,11010,F,50,HE,20,24.47
202003,일,05,11010,11010,F,50,EE,20,3.1
202003,일,05,11010,11010,F,50,WE,10,6.26
202003,일,05,11010,11010,F,50,WH,10,6.22
202003,일,05,11010,11010,F,50,EH,10,9.3
202003,일,05,11010,11010,F,50,EW,20,9.39
202003,일,05,11010,11010,F,50,HW,10,15.42
202003,일,05,11010,11010,F,55,EE,10,9.83
202003,일,05,11010,11010,F,55,EH,20,9.28
202003,일,05,11010,11010,F,55,HW,10,3.23
202003,일,05,11010,11010,F,55,WW,40,6.48
202003,일,05,11010,11010,F,55,WH,10,25.99
202003,일,05,11010,11010,F,55,EW,10,9.81
202003,일,05,11010,11010,F,60,HE,10,7.51
202003,일,05,11010,11010,F,60,HH,10,7.56
202003,일,05,11010,11010,F,60,WE,10,7.43
202003,일,05,11010,11010,F,60,WW,10,15.32
202003,일,05,11010,11010,F,60,EH,10,3.71
202003,일,05,11010,11010,F,60,EE,10,3.83
202003,일,05,11010,11010,F,60,WH,20,7.65
202003,일,05,11010,11010,F,60,HW,10,3.72
202003,일,05,11010,11010,F,65,HE,10,9.24
202003,일,05,11010,11010,F,65,EH,10,4.55
202003,일,05,11010,11010,F,65,HW,10,18.44
202003,일,05,11010,11010,F,65,WH,10,13.85
202003,일,05,11010,11010,F,65,EE,20,4.68
202003,일,05,11010,11010,F,65,HH,10,4.55
202003,일,05,11010,11010,F,70,HW,10,11.38
202003,일,05,11010,11010,F,70,HE,10,11.37
202003,일,05,11010,11010,F,70,WW,10,17.19
202003,일,05,11010,11010,F,70,EH,10,5.56
202003,일,05,11010,11010,F,70,HH,10,5.61
202003,일,05,11010,11010,F,75,HE,10,8.66
202003,일,05,11010,11010,F,80,HE,10,76.88
202003,일,05,11010,11010,M,10,HH,10,6.41
202003,일,05,11010,11010,M,10,HE,10,6.48
202003,일,05,11010,11010,M,15,HW,10,28.67
202003,일,05,11010,11010,M,15,WH,10,22.48
202003,일,05,11010,11010,M,15,HE,10,4.43
202003,일,05,11010,11010,M,15,HH,10,29.78
202003,일,05,11010,11010,M,15,EH,10,17.86
202003,일,05,11010,11010,M,15,EE,10,36.13
202003,일,05,11010,11010,M,15,EW,10,9.06
202003,일,05,11010,11010,M,20,HH,10,15.95
202003,일,05,11010,11010,M,20,EH,20,42.63
202003,일,05,11010,11010,M,20,WH,10,68.18
202003,일,05,11010,11010,M,20,HE,10,5.26
202003,일,05,11010,11010,M,20,EW,10,10.68
202003,일,05,11010,11010,M,20,WE,10,*
202003,일,05,11010,11010,M,20,EE,10,83.54
202003,일,05,11010,11010,M,20,WW,10,24.15
202003,일,05,11010,11010,M,20,HW,10,10.57
202003,일,05,11010,11010,M,25,EW,30,11.41
202003,일,05,11010,11010,M,25,HW,10,13.42
202003,일,05,11010,11010,M,25,EH,10,44.83
202003,일,05,11010,11010,M,25,HH,10,32.88
202003,일,05,11010,11010,M,25,WW,10,24.95
202003,일,05,11010,11010,M,25,EE,10,114.96
202003,일,05,11010,11010,M,25,WE,10,9.11
202003,일,05,11010,11010,M,25,WH,20,35.36
202003,일,05,11010,11010,M,25,HE,20,13.42
202003,일,05,11010,11010,M,30,EW,10,20.28
202003,일,05,11010,11010,M,30,WW,20,28.45
202003,일,05,11010,11010,M,30,WH,10,9.32
202003,일,05,11010,11010,M,30,HE,10,9.36
202003,일,05,11010,11010,M,30,EH,30,13.95
202003,일,05,11010,11010,M,30,HH,20,7
202003,일,05,11010,11010,M,30,WE,30,9.52
202003,일,05,11010,11010,M,30,EE,10,72.44
202003,일,05,11010,11010,M,35,HE,10,8.72
202003,일,05,11010,11010,M,35,HH,10,5.34
202003,일,05,11010,11010,M,35,WE,30,8.15
202003,일,05,11010,11010,M,35,EE,10,35.09
202003,일,05,11010,11010,M,35,WH,20,19.03
202003,일,05,11010,11010,M,35,WW,20,13.59
202003,일,05,11010,11010,M,35,HW,20,10.81
202003,일,05,11010,11010,M,35,EH,10,18.96
202003,일,05,11010,11010,M,40,WE,10,12.05
202003,일,05,11010,11010,M,40,EW,20,24.09
202003,일,05,11010,11010,M,40,HW,20,11.82
202003,일,05,11010,11010,M,40,EE,20,24.03
202003,일,05,11010,11010,M,40,WH,20,14.84
202003,일,05,11010,11010,M,40,EH,10,11.82
202003,일,05,11010,11010,M,40,HH,20,*
202003,일,05,11010,11010,M,40,WW,10,9.03
202003,일,05,11010,11010,M,40,HE,10,17.81
202003,일,05,11010,11010,M,45,EW,10,6.27
202003,일,05,11010,11010,M,45,WE,10,6.31
202003,일,05,11010,11010,M,45,WH,20,22.11
202003,일,05,11010,11010,M,45,WW,10,12.72
202003,일,05,11010,11010,M,45,HW,20,12.59
202003,일,05,11010,11010,M,45,HE,20,3.21
202003,일,05,11010,11010,M,45,HH,20,6.24
202003,일,05,11010,11010,M,45,EH,10,9.55
202003,일,05,11010,11010,M,45,EE,20,12.68
202003,일,05,11010,11010,M,50,HW,10,9.69
202003,일,05,11010,11010,M,50,EH,10,9.69
202003,일,05,11010,11010,M,50,WW,20,16.5
202003,일,05,11010,11010,M,50,HE,10,16.39
202003,일,05,11010,11010,M,50,HH,10,6.55
202003,일,05,11010,11010,M,50,EE,10,32.94
202003,일,05,11010,11010,M,50,EW,10,3.27
202003,일,05,11010,11010,M,50,WH,10,6.44
202003,일,05,11010,11010,M,50,WE,10,6.6
202003,일,05,11010,11010,M,55,EE,10,9.78
202003,일,05,11010,11010,M,55,EH,20,19.4
202003,일,05,11010,11010,M,55,HH,10,26.08
202003,일,05,11010,11010,M,55,WE,40,23.1
202003,일,05,11010,11010,M,55,WW,10,9.8
202003,일,05,11010,11010,M,55,HE,10,16.21
202003,일,05,11010,11010,M,55,HW,10,19.39
202003,일,05,11010,11010,M,55,WH,10,16.32
202003,일,05,11010,11010,M,55,EW,20,3.27
202003,일,05,11010,11010,M,60,WE,10,3.52
202003,일,05,11010,11010,M,60,HW,10,24.7
202003,일,05,11010,11010,M,60,HE,10,24.36
202003,일,05,11010,11010,M,60,EE,20,3.53
202003,일,05,11010,11010,M,60,EH,10,10.43
202003,일,05,11010,11010,M,60,WH,20,3.45
202003,일,05,11010,11010,M,60,EW,50,7.06
202003,일,05,11010,11010,M,60,HH,20,17.43
202003,일,05,11010,11010,M,60,WW,10,21.18
202003,일,05,11010,11010,M,65,WW,20,28.56
202003,일,05,11010,11010,M,65,WE,10,16.32
202003,일,05,11010,11010,M,65,EW,10,16.32
202003,일,05,11010,11010,M,65,HE,20,12.09
202003,일,05,11010,11010,M,65,WH,10,10.12
202003,일,05,11010,11010,M,65,HW,10,56.8
202003,일,05,11010,11010,M,65,EH,10,12.18
202003,일,05,11010,11010,M,70,WW,20,9.28
202003,일,05,11010,11010,M,70,HE,10,4.61
202003,일,05,11010,11010,M,70,WH,10,4.62
202003,일,05,11010,11010,M,70,WE,10,4.64
202003,일,05,11010,11010,M,70,HW,10,9.19
202003,일,05,11010,11010,M,75,EH,10,5.87
202003,일,05,11010,11010,M,75,HH,10,5.87
202003,일,05,11010,11010,M,75,WW,40,11.91
202003,일,05,11010,11010,M,75,EE,10,11.98
202003,일,05,11010,11010,M,75,WE,10,11.78
202003,일,05,11010,11010,M,75,HW,10,17.73
202003,일,05,11010,11010,M,80,HW,10,9.23
202003,일,05,11010,11010,M,80,EH,10,18.88
202003,일,05,11010,11020,F,15,EW,10,4.08
202003,일,05,11010,11020,F,15,EH,10,12.1
202003,일,05,11010,11020,F,20,EH,20,6.33
202003,일,05,11010,11020,F,20,WH,10,4.4
202003,일,05,11010,11020,F,20,EE,20,4.41
202003,일,05,11010,11020,F,20,HH,10,4.34
202003,일,05,11010,11020,F,20,HE,10,4.31
202003,일,05,11010,11020,F,20,HW,10,10.89
202003,일,05,11010,11020,F,25,EE,90,*
202003,일,05,11010,11020,F,25,EW,10,4.04
202003,일,05,11010,11020,F,25,EH,20,4.11
202003,일,05,11010,11020,F,25,HW,10,*
202003,일,05,11010,11020,F,30,EE,20,*
202003,일,05,11010,11020,F,35,EE,20,9.06
202003,일,05,11010,11020,F,35,WE,10,*
202003,일,05,11010,11020,F,35,HW,10,11.98
202003,일,05,11010,11020,F,40,EE,10,6.87
202003,일,05,11010,11020,F,45,EE,20,13.27
202003,일,05,11010,11020,F,50,HW,20,6.17
202003,일,05,11010,11020,F,50,WW,10,3.11
202003,일,05,11010,11020,F,55,EE,10,6.05
202003,일,05,11010,11020,F,55,WE,10,3.21
202003,일,05,11010,11020,F,55,WH,20,3.18
202003,일,05,11010,11020,F,55,HW,10,6.48
202003,일,05,11010,11020,F,60,WH,20,7.2
202003,일,05,11010,11020,F,60,HW,10,7.6
202003,일,05,11010,11020,F,60,EE,10,7.68
202003,일,05,11010,11020,F,65,HW,10,4.64
202003,일,05,11010,11020,F,65,EE,30,4.72
202003,일,05,11010,11020,F,70,WE,10,5.73
